Company,Origin,Ref,ReviewDate,CocoaPercent,Location,Rating
Pitch Dark,Chuno,1510,2015,80.00,U.S.A.,2.75
Pitch Dark,Nicalizo,1510,2015,80.00,U.S.A.,2.75
Pomm (aka Dead Dog),Peru,829,2012,82.00,U.S.A.,2.75
Potomac,"San Martin, Amazonian Highlands",789,2011,70.00,U.S.A.,2.75
Pump Street Bakery,Honduras,1688,2015,80.00,U.K.,2.75
Pump Street Bakery,"Patanemo Vil., Carabobo State, Tisano family",1223,2014,75.00,U.K.,2.75
Pump Street Bakery,Guantupi River,1227,2014,85.00,U.K.,2.75
Pura Delizia,Venezuela,931,2012,73.00,Italy,2.75
Q Chocolate,Brazil,1069,2013,55.00,Brazil,2.75
Quetzalli (Wolter),"Mexico, Lot 28022016",1796,2016,70.00,Mexico,2.75
Raaka,Virunga,1708,2015,75.00,U.S.A.,2.75
Rain Republic,Suchitepequez E.,470,2010,70.00,Guatemala,2.75
Rogue,"Hispaniola, 2008",213,2008,70.00,U.S.A.,2.75
Rogue,Jamaica,213,2008,70.00,U.S.A.,2.75
Rogue,"Sambirano, 2008",213,2008,70.00,U.S.A.,2.75
Rozsavolgyi,Principe,765,2011,77.00,Hungary,2.75
Sacred,Midnight,813,2012,83.00,U.S.A.,2.75
Santander (Compania Nacional),Colombian 2008,404,2009,75.00,Colombia,2.75
Santome,Sao Tome,761,2011,70.00,France,2.75
Seaforth,Dominican Republic,1658,2015,70.00,U.K.,2.75
Seaforth,Grenada,1658,2015,70.00,U.K.,2.75
Shark Mountain,Cuyagua,1466,2015,77.00,U.S.A.,2.75
Sjolinds,Ghana,1454,2015,70.00,U.S.A.,2.75
"Smooth Chocolator, The",Bolivia,1626,2015,72.00,Australia,2.75
Solkiki,"Maranon, Fortunato No. 4",1840,2016,68.00,U.K.,2.75
Solkiki,"Castillo, Hispaniola, unroasted",1840,2016,85.00,U.K.,2.75
Soma,"Apurimac, El Quinacho Co-op",1073,2013,70.00,Canada,2.75
Soma,"Grenada, Black Science",676,2011,70.00,Canada,2.75
Spencer,Peru,1932,2017,70.00,U.S.A.,2.75
Spencer,Malekula Island,1434,2014,72.00,Australia,2.75
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",859,2012,68.00,Switzerland,2.75
StRita Supreme,"Samar, East Visayas region",943,2012,75.00,U.S.A.,2.75
Sublime Origins,Sambirano,1157,2013,67.00,U.S.A.,2.75
Suruca Chocolate,Venezuela,1796,2016,70.00,Venezuela,2.75
Svenska Kakaobolaget,Sri Lanka,1618,2015,70.00,Sweden,2.75
Tabal,Costa Rica,1101,2013,70.00,U.S.A.,2.75
Tabal,Dominican Republic,1101,2013,70.00,U.S.A.,2.75
Tablette (aka Vanillabeans),Trinidad,1680,2015,77.00,Japan,2.75
Taza,Chiapan,451,2009,75.00,U.S.A.,2.75
TCHO,TCHOPro 60.5,387,2009,60.00,U.S.A.,2.75
TCHO,Citrus-beta,280,2008,70.00,U.S.A.,2.75
Tejas,Concepcion,801,2012,70.00,U.S.A.,2.75
Tejas,San Jose,829,2012,70.00,U.S.A.,2.75
Tejas,Espada,967,2012,70.00,U.S.A.,2.75
Terroir,Peru,1478,2015,70.00,U.S.A.,2.75
Tocoti,Venezuela,789,2011,72.00,U.S.A.,2.75
twenty-four blackbirds,Oko Caribe,1700,2015,75.00,U.S.A.,2.75
twenty-four blackbirds,Dominican Republic,753,2011,73.00,U.S.A.,2.75
Undone,Matagalpa,1438,2014,74.00,U.S.A.,2.75
Valrhona,Le Noir Amer,157,2007,71.00,France,2.75
Vanleer (Barry Callebaut),Napa,963,2012,65.00,U.S.A.,2.75
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,72.00,Madagascar,2.75
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,76.00,Madagascar,2.75
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,80.00,Madagascar,2.75
Violet Sky,Sambirano Valley,1458,2015,77.00,U.S.A.,2.75
Violet Sky,Cahabon,1502,2015,77.00,U.S.A.,2.75
Wilkie's Organic,Amazonas,1169,2013,89.00,Ireland,2.75
Wilkie's Organic,Amazonas w/ nibs,1173,2013,75.00,Ireland,2.75
A. Morin,Atsane,1676,2015,70.00,France,3.00
A. Morin,Madagascar,1011,2013,70.00,France,3.00
A. Morin,Birmanie,1015,2013,70.00,France,3.00
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.00,Ecuador,3.00
Ah Cacao,Tabasco,316,2009,70.00,Mexico,3.00
Alain Ducasse,Madagascar,1215,2014,75.00,France,3.00
Altus aka Cao Artisan,Acopagro,1728,2016,60.00,U.S.A.,3.00
Altus aka Cao Artisan,Conacado,1125,2013,60.00,U.S.A.,3.00
Altus aka Cao Artisan,Bolivia,1133,2013,60.00,U.S.A.,3.00
Amano,Chuao,544,2010,70.00,U.S.A.,3.00
Amano,Montanya,363,2009,70.00,U.S.A.,3.00
Amano,Cuyagua,147,2007,70.00,U.S.A.,3.00
Amatller (Simon Coll),Ghana,322,2009,70.00,Spain,3.00
Amatller (Simon Coll),Ghana,464,2009,85.00,Spain,3.00
Ambrosia,Belize,1494,2015,64.00,Canada,3.00
Amedei,Ecuador,123,2007,70.00,Italy,3.00
Amedei,Jamaica,123,2007,70.00,Italy,3.00
Anahata,Elvesia,1259,2014,75.00,U.S.A.,3.00
Ara,Madagascar,1375,2014,75.00,France,3.00
Ara,Trincheras,1379,2014,75.00,France,3.00
Artisan du Chocolat,Madagascar,363,2009,80.00,U.K.,3.00
Artisan du Chocolat,Peru,363,2009,75.00,U.K.,3.00
Askinosie,San Jose del Tambo,175,2007,70.00,U.S.A.,3.00
Bahen & Co.,Sambirano,995,2012,70.00,Australia,3.00
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.00,U.K.,3.00
Belyzium,Belize south,1768,2016,78.00,Germany,3.00
Beschle (Felchlin),Madagascar,636,2011,64.00,Switzerland,3.00
Beschle (Felchlin),Maracaibo,636,2011,88.00,Switzerland,3.00
Bittersweet Origins,"Sambirano, 2009",565,2010,70.00,U.S.A.,3.00
Bittersweet Origins,"Ocumare, prototype",565,2010,78.00,U.S.A.,3.00
Bittersweet Origins,Puerto Plata,414,2009,75.00,U.S.A.,3.00
Bittersweet Origins,Sambirano,233,2008,71.00,U.S.A.,3.00
Bittersweet Origins,Ankasa,256,2008,70.00,U.S.A.,3.00
Black Mountain,Matiguas,256,2008,70.00,U.S.A.,3.00
Blue Bandana,Zorzal Reserva,1756,2016,75.00,U.S.A.,3.00
Bonnat,Ivory Coast,331,2009,75.00,France,3.00
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.00,France,3.00
Bonnat,"Xoconusco, cacao Real",395,2009,75.00,France,3.00
Bonnat,Ceylan,81,2006,75.00,France,3.00
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72.00,U.S.A.,3.00
Brazen,Elvesia P.,1514,2015,60.00,U.S.A.,3.00
Breeze Mill,Jamaica,1149,2013,70.00,U.S.A.,3.00
Bright,Somia Plantation,1231,2014,72.00,Australia,3.00
Cacao Barry,Santo Domingo,586,2010,70.00,France,3.00
Cacao Barry,Mexico,147,2007,66.00,France,3.00
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72.00,U.S.A.,3.00
Cacao Store,Madagascar,1684,2015,70.00,Japan,3.00
C-Amaro,Dominican Republic,1442,2014,72.00,Italy,3.00
C-Amaro,Venezuela,809,2012,80.00,Italy,3.00
Cao,"Porcelana, Batch 5163",1804,2016,70.00,U.S.A.,3.00
Cao,Bolivia,1808,2016,75.00,U.S.A.,3.00
Caoni (Tulicorp),Manabi,266,2008,55.00,Ecuador,3.00
Caribeans,Costa Rica,841,2012,72.00,Costa Rica,3.00
Carlotta Chocolat,Arauca,1884,2016,65.00,Colombia,3.00
Castronovo,Bolivia,1101,2013,70.00,U.S.A.,3.00
Castronovo,Guaniamo,1153,2013,72.00,U.S.A.,3.00
Cello,Bolivia,1251,2014,70.00,U.S.A.,3.00
Chchukululu (Tulicorp),Los Rios,252,2008,75.00,Ecuador,3.00
Choco Del Sol,Maya Mountain w/ nibs,1407,2014,75.00,Germany,3.00
Chocolate Con Amor,Dominican Republic,1764,2016,60.00,U.S.A.,3.00
Chocolate Con Amor,Dominican Republic,1764,2016,75.00,U.S.A.,3.00
Chocolate Con Amor,Ocumare,1764,2016,80.00,U.S.A.,3.00
ChocoReko,Patanemo,1454,2015,77.00,Japan,3.00
Chocovic,Maragda,117,2007,70.00,Spain,3.00
Choklat,Brazilian,377,2009,70.00,Canada,3.00
Choklat,Brazilian,377,2009,80.00,Canada,3.00
Choklat,Ocumare,377,2009,70.00,Canada,3.00
Chuao Chocolatier,Choroni,445,2009,61.00,U.S.A.,3.00
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80.00,Sao Tome,3.00
Coleman & Davis,Sambirano,1646,2015,75.00,U.S.A.,3.00
Coppeneur,Chuao,478,2010,70.00,Germany,3.00
Coppeneur,Trinidad,558,2010,72.00,Germany,3.00
Coppeneur,"Porcelana, Apotequil",341,2009,72.00,Germany,3.00
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72.00,Germany,3.00
Coppeneur,"Porcelana, Venezuela",220,2008,72.00,Germany,3.00
Coppeneur,"Sambirano, Menava P.",196,2007,72.00,Germany,3.00
Damson,Robson Estate,1610,2015,70.00,U.K.,3.00
Dandelion,"Maya Mtn., Break Bar- Snark",1446,2015,70.00,U.S.A.,3.00
Dandelion,Upala,805,2012,70.00,U.S.A.,3.00
Danta,Chuao,987,2012,75.00,Guatemala,3.00
Danta,Las Acacias E.,423,2009,75.00,Guatemala,3.00
DAR,Vietnam,1920,2016,72.00,U.S.A.,3.00
Dark Forest,Madagascar,1550,2015,70.00,U.S.A.,3.00
Dark Forest,Tanzania,1554,2015,70.00,U.S.A.,3.00
De Villiers,"Sambirano Valley, batch 2477",1832,2016,70.00,South Africa,3.00
Dean and Deluca (Belcolade),Costa Rica,175,2007,64.00,U.S.A.,3.00
Dean and Deluca (Belcolade),Ecuador,175,2007,71.00,U.S.A.,3.00
Dean and Deluca (Belcolade),Ghana,175,2007,60.00,U.S.A.,3.00
Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64.00,U.S.A.,3.00
Dean and Deluca (Belcolade),Peru,180,2007,64.00,U.S.A.,3.00
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64.00,France,3.00
Dick Taylor,Sambirano,661,2011,72.00,U.S.A.,3.00
Dick Taylor,La Red,769,2011,74.00,U.S.A.,3.00
Doble & Bignall,Puerto Cabello,1688,2015,85.00,U.K.,3.00
Dolfin (Belcolade),Africa,304,2008,88.00,Belgium,3.00
Domori,"IL100, H. San Jose",1109,2013,100.00,Italy,3.00
Domori,"Chuao, Hacienda San Jose",470,2010,70.00,Italy,3.00
Domori,"Carupano, H. San Jose",227,2008,70.00,Italy,3.00
Domori,Teyuna,272,2008,70.00,Italy,3.00
Domori,Sur del Lago Classificado,87,2006,70.00,Italy,3.00
Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,72.00,U.K.,3.00
Edelmond,Porcelana,1876,2016,68.00,Germany,3.00
El Rey,"Rio Caribe, Macuro",439,2009,70.00,Venezuela,3.00
El Rey,"Carenero Superior, Mijao",206,2008,61.00,Venezuela,3.00
Emily's,Patanemo,1450,2015,79.00,Japan,3.00
Erithaj (A. Morin),Ham Luong,1209,2014,80.00,France,3.00
Escazu,Ocumare,252,2008,72.00,U.S.A.,3.00
Ethereal,Belize,1275,2014,80.00,U.S.A.,3.00
Feitoria Cacao,Blue Mountain,1732,2016,76.00,Portugal,3.00
Felchlin,Elvesia P.,105,2006,74.00,Switzerland,3.00
Felchlin,"Madagascar, Grand Cru",48,2006,64.00,Switzerland,3.00
Felchlin,Maracaibo Clasificado,48,2006,65.00,Switzerland,3.00
Finca,Dominican Republic,1283,2014,80.00,U.S.A.,3.00
Frederic Blondeel,Vietnam,1542,2015,80.00,Belgium,3.00
French Broad,San Andres,1209,2014,80.00,U.S.A.,3.00
Fresco,"Maranon, #228, MR, SC",1383,2014,70.00,U.S.A.,3.00
Fresco,"Markham Valley, #222, LR, 0C",931,2012,69.00,U.S.A.,3.00
Fresco,"Sambirano Valley, #215, MR, MC",688,2011,74.00,U.S.A.,3.00
Fresco,"Jamaica, #206, DR, LC",370,2009,70.00,U.S.A.,3.00
Friis Holm (Bonnat),La Dalia,1680,2015,60.00,Denmark,3.00
Fruition,Maranon,1359,2014,76.00,U.S.A.,3.00
Fruition,Camino Verde,1185,2013,75.00,U.S.A.,3.00
Fruition,Costa Rica,781,2011,70.00,U.S.A.,3.00
Glennmade,Bahia,1672,2015,66.00,U.S.A.,3.00
Grand Place,"Ben Tre, Dong Nai",741,2011,72.00,Vietnam,3.00
Guido Castagna,Arriba,355,2009,64.00,Italy,3.00
Guido Castagna,Ghana,355,2009,64.00,Italy,3.00
Guido Castagna,Trinidad & Tobago,355,2009,64.00,Italy,3.00
Guido Castagna,Lacri Blend,355,2009,76.00,Italy,3.00
Guittard,Trinidad,552,2010,65.00,U.S.A.,3.00
Guittard,"O'ahu, N. Shore, Waialua E., Kakoleka",316,2009,55.00,U.S.A.,3.00
Guittard,Nocturne,387,2009,91.00,U.S.A.,3.00
Guittard,Machu Pichu,259,2008,65.00,U.S.A.,3.00
Guittard,Special Maker Reserve,276,2008,64.00,U.S.A.,3.00
Guittard,Chucuri,15,2006,65.00,U.S.A.,3.00
Guittard,Semisweet,99,2006,61.00,U.S.A.,3.00
Habitual,Africa meets Latina,1201,2014,70.00,Canada,3.00
Habitual,Amazonas,1201,2014,80.00,Canada,3.00
Hacienda El Castillo,Don Homero- Cerecita Valley,1327,2014,70.00,Ecuador,3.00
Haigh,South America and Africa,701,2011,70.00,Australia,3.00
Harper Macaw,Brazil Blend,1696,2015,67.00,U.S.A.,3.00
Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",1243,2014,67.00,U.S.A.,3.00
hexx,Madagascar,1546,2015,74.00,U.S.A.,3.00
hexx,Venezuela,1546,2015,70.00,U.S.A.,3.00
Hoja Verde (Tulicorp),Arriba,414,2009,72.00,Ecuador,3.00
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,75.00,U.K.,3.00
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara",1065,2013,90.00,U.K.,3.00
Hotel Chocolat (Coppeneur),"Somia Plantation, Akesson, 2012",1065,2013,72.00,U.K.,3.00
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 96hr c.",623,2011,80.00,U.K.,3.00
Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",623,2011,65.00,U.K.,3.00
Hotel Chocolat (Coppeneur),Santo Domingo,552,2010,70.00,U.K.,3.00
Hotel Chocolat (Coppeneur),St. Lucia,245,2008,72.00,U.K.,3.00
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,72.00,U.K.,3.00
Hummingbird,Bolivia,1307,2014,70.00,Canada,3.00
Hummingbird,"Bolivia, Bo-nib-ia, w/ nibs",1311,2014,70.00,Canada,3.00
Hummingbird,Momotombo,1311,2014,70.00,Canada,3.00
Indi,Honduras,1255,2014,77.00,U.S.A.,3.00
iQ Chocolate,black label,943,2012,72.00,Scotland,3.00
Kah Kow,"Rizek Cacao, Domin. Rep.",1069,2013,82.00,Domincan Republic,3.00
Kallari (Ecuatoriana),Sisa 36hr/ W. F. blend prototype,241,2008,70.00,Ecuador,3.00
Kallari (Ecuatoriana),Diego 60hr/ W.F. blend prototype,248,2008,85.00,Ecuador,3.00
Kallari (Ecuatoriana),Cacao Nacional W.F.,269,2008,85.00,Ecuador,3.00
Kiskadee,"La Red, Guanconjeco",1251,2014,60.00,U.S.A.,3.00
Kto,Belize,1422,2014,72.00,U.S.A.,3.00
Kyya,Hispaniola,1359,2014,72.50,U.S.A.,3.00
Kyya,Madagascar,1363,2014,72.50,U.S.A.,3.00
L.A. Burdick (Felchlin),Venzuela,597,2010,71.00,U.S.A.,3.00
L.A. Burdick (Felchlin),Bolivian,451,2009,68.00,U.S.A.,3.00
La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,70.00,Japan,3.00
La Chocolaterie Nanairo,"Belize, 2014 Harvest, Batch 9",1892,2016,70.00,Japan,3.00
La Maison du Chocolat (Valrhona),Kuruba,439,2009,60.00,France,3.00
Laia aka Chat-Noir,"Cuba, Batch 59/100",1590,2015,75.00,France,3.00
Laia aka Chat-Noir,"Ivory Coast, Batch 56/100",1594,2015,75.00,France,3.00
L'Amourette,Carenero Superior,833,2012,75.00,U.S.A.,3.00
L'Amourette,Rio Caribe,833,2012,75.00,U.S.A.,3.00
L'Amourette,Blend,853,2012,72.00,U.S.A.,3.00
Letterpress,San Andres,1566,2015,70.00,U.S.A.,3.00
Lilla,Madagascar,1856,2016,70.00,Finland,3.00
Lillie Belle,"The Other One, Grand Cru",947,2012,74.00,U.S.A.,3.00
Lindt & Sprungli,Excellence (US Version),157,2007,85.00,Switzerland,3.00
Lonohana,"Opaeula Estate, O'ahu, Nene, CG Exclusive",1093,2013,71.00,U.S.A.,3.00
Lonohana,"Opaeula Estate, O'ahu, Ele'ele",1097,2013,72.00,U.S.A.,3.00
Luker,Macondo,552,2010,60.00,Colombia,3.00
Luker,Misterio,552,2010,58.00,Colombia,3.00
Maglio,Ecuador,308,2008,70.00,Italy,3.00
Malmo,Chuao,1856,2016,70.00,Sweden,3.00
Manoa,Piura,1007,2012,72.00,U.S.A.,3.00
Map Chocolate,"Kakoa Kamili, Both Man & Bird & Beast",1610,2015,72.00,U.S.A.,3.00
Marana,Piura,1872,2016,70.00,Peru,3.00
Marana,San Martin,1884,2016,70.00,Peru,3.00
Marou,Tien Giang,895,2012,80.00,Vietnam,3.00
Mars,"Matina 1-6, prototype",537,2010,65.00,U.S.A.,3.00
Mars,Ivory Coast,544,2010,65.00,U.S.A.,3.00
Martin Mayer,Pisa,1836,2016,82.00,Austria,3.00
Mast Brothers,Guatemala,1450,2015,76.00,U.S.A.,3.00
Mast Brothers,"Chuao, Med. Roast",701,2011,76.00,U.S.A.,3.00
Mast Brothers,"Chuao, Dark Roast",709,2011,70.00,U.S.A.,3.00
Mast Brothers,San Martin,777,2011,75.00,U.S.A.,3.00
Mast Brothers,Ocumare de la Costa,572,2010,75.00,U.S.A.,3.00
Mayacama,Hispaniola,1728,2016,72.00,U.S.A.,3.00
Meadowlands,Belize,1287,2014,70.00,U.S.A.,3.00
Meadowlands,"Nicaragua, w/ inbs",1291,2014,70.00,U.S.A.,3.00
Mesocacao,El Salvador,1494,2015,70.00,Honduras,3.00
Metiisto,"Fazenda Sempre Firme P., Bahia",1267,2014,70.00,Sweden,3.00
Michel Cluizel,Tamarina,24,2006,70.00,France,3.00
Moho,Toledo District,1030,2013,72.00,U.S.A.,3.00
Molucca,La Red,1614,2015,70.00,U.S.A.,3.00
Mutari,"Tien Giang, batch 1 SRB",1900,2016,80.00,U.S.A.,3.00
Nahua,"Costa Rica, Oscuro",1049,2013,70.00,Costa Rica,3.00
Na�ve,Barinas,1399,2014,70.00,Lithuania,3.00
Neuhaus (Callebaut),Ocumare,24,2006,71.00,Belgium,3.00
Nibble,"Ambanja, Sambirano Valley",1526,2015,72.00,U.S.A.,3.00
Nibble,Tumbes,1526,2015,72.00,U.S.A.,3.00
Noble Bean aka Jerjobo,Ghana,1295,2014,75.00,U.S.A.,3.00
Noble Bean aka Jerjobo,Moho Valley,1299,2014,75.00,U.S.A.,3.00
Noir d' Ebine,Venezuela,837,2012,70.00,U.S.A.,3.00
Noir d' Ebine,Ecuador,841,2012,70.00,U.S.A.,3.00
Nova Monda,"La Patriota, cacao Indio, purple label",931,2012,70.00,Nicaragua,3.00
Nuance,"Canoabo, 2013",1458,2015,70.00,U.S.A.,3.00
Ocho,"PNG, Revolution",1411,2014,70.00,New Zealand,3.00
Ohiyo,Tanzania,1598,2015,70.00,U.S.A.,3.00
Olive and Sinclair,Dominican Republic prototype,486,2010,72.00,U.S.A.,3.00
Olive and Sinclair,Ghana prototype,486,2010,72.00,U.S.A.,3.00
Olive and Sinclair,Dark 75,457,2009,75.00,U.S.A.,3.00
Olivia,Carribean-Raw,688,2011,85.00,Canada,3.00
Omnom,Papua New Guinea,1247,2014,70.00,Iceland,3.00
organicfair,Caribe,1165,2013,72.00,Canada,3.00
organicfair,Mindo,1165,2013,72.00,Canada,3.00
Original Beans (Felchlin),"D.R. Congo, Cru Virunga",331,2009,70.00,Switzerland,3.00
Original Beans (Felchlin),"Piura, Apotequil, ""Porcelana"" 72hr c.",341,2009,75.00,Switzerland,3.00
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E.",316,2009,60.00,U.S.A.,3.00
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Estate Grown",24,2006,60.00,U.S.A.,3.00
Orquidea,Peru,859,2012,65.00,Peru,3.00
Orquidea,Peru,859,2012,72.00,Peru,3.00
Pacari,Los Rios,224,2008,72.00,Ecuador,3.00
Palette de Bine,Maya Mtn,1720,2016,72.00,Canada,3.00
Pangea,Matasawalevu,1860,2016,76.00,Spain,3.00
Parliament,Alto Beni,1251,2014,70.00,U.S.A.,3.00
Peppalo,Dominican Republic,1454,2015,82.00,U.S.A.,3.00
Pierre Marcolini,Chuao,478,2010,75.00,Belgium,3.00
Pierre Marcolini,"Peru, Las Pampas P.",531,2010,85.00,Belgium,3.00
Pierre Marcolini,"Bahia Brazil, Fazenda Sao Pedro",414,2009,72.00,Belgium,3.00
Pierre Marcolini,"Porcelana, Tabasco, Finca La Joya",445,2009,72.00,Belgium,3.00
Pierre Marcolini,"Kendem Lembu, Java",93,2006,72.00,Belgium,3.00
Potomac,"Upala, Batch 18",654,2011,70.00,U.S.A.,3.00
Pralus,Papouasie,199,2008,75.00,France,3.00
Pralus,"Sambirano Valley, Le 100%",202,2008,100.00,France,3.00
Pralus,"Monte Alegre (Itacare), Brazil",105,2006,75.00,France,3.00
Pralus,Equateur,40,2006,75.00,France,3.00
Pralus,Vanuatu,40,2006,75.00,France,3.00
Pralus,Cuba,99,2006,75.00,France,3.00
Pralus,"Caracas, Venezuela and Ghana",99,2006,75.00,France,3.00
Pump Street Bakery,Guantupi River,1223,2014,75.00,U.K.,3.00
Q Chocolate,Brazil,935,2012,60.00,Brazil,3.00
Quetzalli (Wolter),"Uranga, Lot 22032016",1800,2016,74.00,Mexico,3.00
Raaka,Amazon Basin Blend,1788,2016,70.00,U.S.A.,3.00
Rancho San Jacinto,Ecuador,565,2010,75.00,Eucador,3.00
Republica del Cacao (aka Confecta),Manabi,147,2007,75.00,Ecuador,3.00
Ritual,"Maranon, Cajamarca",1181,2013,75.00,U.S.A.,3.00
Rogue,"Silvestre, Batch 1, 2011",793,2011,75.00,U.S.A.,3.00
Rogue,Trinidad,213,2008,70.00,U.S.A.,3.00
S.A.I.D.,Samana,615,2010,70.00,Italy,3.00
Santander (Compania Nacional),Colombian w/ nibs,414,2009,70.00,Colombia,3.00
Santander (Compania Nacional),Colombian,32,2006,65.00,Colombia,3.00
Scharffen Berger,Finisterra,227,2008,72.00,U.S.A.,3.00
Scharffen Berger,Las Islas,117,2007,72.00,U.S.A.,3.00
Scharffen Berger,Nibby,135,2007,62.00,U.S.A.,3.00
Scharffen Berger,Antilles (Trin/Gren/DR/Ven),188,2007,75.00,U.S.A.,3.00
Scharffen Berger,Semisweet,56,2006,62.00,U.S.A.,3.00
Shark Mountain,Ecuador,1335,2014,75.00,U.S.A.,3.00
Silvio Bessone,Maya Belize,717,2011,67.00,Italy,3.00
Silvio Bessone,"Porcelana, Colombia, Amazonas",741,2011,68.00,Italy,3.00
Sirene,"Somia Plantation, 2012",1502,2015,100.00,Canada,3.00
Sirene,"Camino Verde P., Balao, Guayas, 2012",1506,2015,100.00,Canada,3.00
Sirene,Lachua w/ cane sugar,1614,2015,73.00,Canada,3.00
Sjolinds,Nicaragua,1462,2015,72.00,U.S.A.,3.00
"Smooth Chocolator, The",Tien Giang,1864,2016,70.00,Australia,3.00
"Smooth Chocolator, The","Maranon, batch 2",1666,2015,67.00,Australia,3.00
Snake & Butterfly,Madagascar,502,2010,68.00,U.S.A.,3.00
Sol Cacao,Madagascar,1518,2015,72.00,U.S.A.,3.00
Solstice,Bundibugyo,1335,2014,70.00,U.S.A.,3.00
Solstice,Sambirano,1157,2013,70.00,U.S.A.,3.00
Solstice,Amazonas,1157,2013,70.00,U.S.A.,3.00
Soma,Hispaniola,377,2009,70.00,Canada,3.00
Soma,Conacado,387,2009,70.00,Canada,3.00
Spagnvola,AgroCriso Plantation,793,2012,70.00,U.S.A.,3.00
Spagnvola,AgroCriso Plantation,793,2012,80.00,U.S.A.,3.00
Sprungli (Felchlin),Alto Beni,1057,2013,70.00,Switzerland,3.00
SRSLY,Dominican Republic,1113,2013,70.00,U.S.A.,3.00
Starchild,"Bolivar, Arriba",1634,2015,70.00,U.S.A.,3.00
Starchild,Hispaniola,1692,2015,70.00,U.S.A.,3.00
Starchild,Cacao Verapaz,1692,2015,70.00,U.S.A.,3.00
Starchild,Rio Tuma,1692,2015,70.00,U.S.A.,3.00
Starchild,Sambirano Valley,1696,2015,70.00,U.S.A.,3.00
Summerbird,Peru,1800,2016,71.00,Denmark,3.00
Suruca Chocolate,Venezuela,1796,2016,60.00,Venezuela,3.00
Szanto Tibor,Crudo,761,2011,70.00,Hungary,3.00
Tabal,Peru,1105,2013,70.00,U.S.A.,3.00
Tablette (aka Vanillabeans),Colombia,1450,2015,70.00,Japan,3.00
Taza,Belize,1271,2014,68.00,U.S.A.,3.00
Taza,"Dark, Stone Ground",180,2007,70.00,U.S.A.,3.00
TCHO,TCHOPro 68,387,2009,68.00,U.S.A.,3.00
Tejas,Bayou Blend,801,2012,70.00,U.S.A.,3.00
Tejas,Aranama,805,2012,70.00,U.S.A.,3.00
Tejas,Capistrano*,829,2012,70.00,U.S.A.,3.00
Tejas,Concepcion*,971,2012,80.00,U.S.A.,3.00
The Barn,Peru,1614,2015,70.00,Sweden,3.00
Theo,"Ghana, Kumasi",184,2007,84.00,U.S.A.,3.00
Theo,"Ghana, Panama, Ecuador",188,2007,75.00,U.S.A.,3.00
Tocoti,"Wild Bolivian, Jungle Love",927,2012,77.00,U.S.A.,3.00
Tocoti,Dominican Republic,789,2011,74.00,U.S.A.,3.00
Treehouse,Conacado,1239,2014,72.00,U.S.A.,3.00
Two Ravens,Peru,1740,2016,60.00,U.S.A.,3.00
Undone,Nourish,1438,2014,70.00,U.S.A.,3.00
Upchurch,"Madagascar, Sassy Bar",1752,2016,72.00,U.S.A.,3.00
Valrhona,Araguani,117,2007,72.00,France,3.00
Valrhona,Caraibe,63,2006,66.00,France,3.00
Valrhona,"Porcelana, Maracaibo, Palmira P. 2005",75,2006,64.00,France,3.00
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,70.00,Madagascar,3.00
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,404,2009,68.00,Madagascar,3.00
Vintage Plantations,San Martin,1205,2014,75.00,U.S.A.,3.00
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",153,2007,75.00,U.S.A.,3.00
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2007",153,2007,65.00,U.S.A.,3.00
Violet Sky,Moho River Valley,1458,2015,77.00,U.S.A.,3.00
Violet Sky,Cuyagua,1458,2015,77.00,U.S.A.,3.00
Vivra,Dominican Republic,1724,2016,70.00,U.S.A.,3.00
Willie's Cacao,Los Llanos,1227,2014,88.00,U.K.,3.00
Willie's Cacao,Sambirano,593,2010,71.00,U.K.,3.00
